Row(c_city='UNITED ST4', s_city='UNITED ST7', d_year=1992, revenue=87714910.0)
Row(c_city='UNITED ST3', s_city='UNITED ST0', d_year=1993, revenue=41023821.0)
Row(c_city='UNITED ST3', s_city='UNITED ST3', d_year=1993, revenue=40603327.0)
Row(c_city='UNITED ST1', s_city='UNITED ST5', d_year=1993, revenue=37818935.0)
Row(c_city='UNITED ST6', s_city='UNITED ST1', d_year=1993, revenue=37800294.0)
Row(c_city='UNITED ST2', s_city='UNITED ST2', d_year=1993, revenue=37426337.0)
Row(c_city='UNITED ST1', s_city='UNITED ST2', d_year=1993, revenue=36972246.0)
Row(c_city='UNITED ST0', s_city='UNITED ST1', d_year=1993, revenue=36749139.0)
Row(c_city='UNITED ST1', s_city='UNITED ST6', d_year=1993, revenue=36489399.0)
Row(c_city='UNITED ST4', s_city='UNITED ST4', d_year=1993, revenue=35992870.0)
Row(c_city='UNITED ST1', s_city='UNITED ST0', d_year=1993, revenue=34869777.0)
Row(c_city='UNITED ST2', s_city='UNITED ST1', d_year=1993, revenue=34792913.0)
Row(c_city='UNITED ST5', s_city='UNITED ST9', d_year=1993, revenue=34375215.0)
Row(c_city='UNITED ST3', s_city='UNITED ST5', d_year=1993, revenue=34302685.0)
Row(c_city='UNITED ST8', s_city='UNITED ST2', d_year=1993, revenue=34001761.0)
Row(c_city='UNITED ST6', s_city='UNITED ST4', d_year=1993, revenue=33721016.0)
Row(c_city='UNITED ST9', s_city='UNITED ST4', d_year=1993, revenue=33274994.0)
Row(c_city='UNITED ST2', s_city='UNITED ST9', d_year=1993, revenue=33086506.0)
Row(c_city='UNITED ST8', s_city='UNITED ST1', d_year=1993, revenue=32240826.0)
Row(c_city='UNITED ST1', s_city='UNITED ST4', d_year=1993, revenue=31637836.0)
Row(c_city='UNITED ST8', s_city='UNITED ST9', d_year=1993, revenue=31132875.0)
Row(c_city='UNITED ST0', s_city='UNITED ST5', d_year=1993, revenue=30952640.0)
Row(c_city='UNITED ST2', s_city='UNITED ST5', d_year=1993, revenue=30242081.0)
Row(c_city='UNITED ST9', s_city='UNITED ST2', d_year=1993, revenue=29936898.0)
Row(c_city='UNITED ST9', s_city='UNITED ST0', d_year=1993, revenue=29680924.0)
Row(c_city='UNITED ST9', s_city='UNITED ST9', d_year=1993, revenue=29435205.0)
Row(c_city='UNITED ST6', s_city='UNITED ST9', d_year=1993, revenue=29230145.0)
Row(c_city='UNITED ST1', s_city='UNITED ST9', d_year=1993, revenue=29154723.0)
Row(c_city='UNITED ST3', s_city='UNITED ST7', d_year=1993, revenue=28250408.0)
Row(c_city='UNITED ST0', s_city='UNITED ST7', d_year=1993, revenue=26976570.0)
Row(c_city='UNITED ST3', s_city='UNITED ST9', d_year=1993, revenue=26367695.0)
Row(c_city='UNITED ST5', s_city='UNITED ST1', d_year=1993, revenue=25343098.0)
Row(c_city='UNITED ST0', s_city='UNITED ST2', d_year=1993, revenue=23584920.0)
Row(c_city='UNITED ST4', s_city='UNITED ST1', d_year=1993, revenue=23149471.0)
Row(c_city='UNITED ST6', s_city='UNITED ST5', d_year=1993, revenue=22688578.0)
Row(c_city='UNITED ST4', s_city='UNITED ST2', d_year=1993, revenue=22372307.0)
Row(c_city='UNITED ST0', s_city='UNITED ST3', d_year=1993, revenue=21984567.0)
Row(c_city='UNITED ST7', s_city='UNITED ST7', d_year=1993, revenue=21571196.0)
Row(c_city='UNITED ST0', s_city='UNITED ST0', d_year=1993, revenue=21355491.0)
Row(c_city='UNITED ST3', s_city='UNITED ST4', d_year=1993, revenue=18644397.0)
Row(c_city='UNITED ST1', s_city='UNITED ST3', d_year=1993, revenue=16702271.0)
Row(c_city='UNITED ST5', s_city='UNITED ST2', d_year=1993, revenue=15951768.0)
Row(c_city='UNITED ST4', s_city='UNITED ST9', d_year=1993, revenue=14873022.0)
Row(c_city='UNITED ST0', s_city='UNITED ST9', d_year=1993, revenue=13677241.0)
Row(c_city='UNITED ST0', s_city='UNITED ST4', d_year=1993, revenue=6603833.0)
Row(c_city='UNITED ST2', s_city='UNITED ST7', d_year=1994, revenue=134392562.0)
Row(c_city='UNITED ST7', s_city='UNITED ST0', d_year=1994, revenue=79505839.0)
Row(c_city='UNITED ST4', s_city='UNITED ST5', d_year=1994, revenue=79012816.0)
Row(c_city='UNITED ST8', s_city='UNITED ST6', d_year=1994, revenue=76999077.0)
Row(c_city='UNITED ST4', s_city='UNITED ST7', d_year=1994, revenue=75734026.0)
Row(c_city='UNITED ST4', s_city='UNITED ST3', d_year=1994, revenue=73738010.0)
Row(c_city='UNITED ST4', s_city='UNITED ST6', d_year=1994, revenue=72587740.0)
Row(c_city='UNITED ST9', s_city='UNITED ST3', d_year=1994, revenue=70224396.0)
Row(c_city='UNITED ST8', s_city='UNITED ST8', d_year=1994, revenue=67852623.0)
Row(c_city='UNITED ST5', s_city='UNITED ST3', d_year=1994, revenue=65436949.0)
Row(c_city='UNITED ST2', s_city='UNITED ST6', d_year=1994, revenue=62600984.0)
Row(c_city='UNITED ST6', s_city='UNITED ST8', d_year=1994, revenue=62214852.0)
Row(c_city='UNITED ST8', s_city='UNITED ST7', d_year=1994, revenue=61311159.0)
Row(c_city='UNITED ST8', s_city='UNITED ST0', d_year=1994, revenue=61308087.0)
Row(c_city='UNITED ST0', s_city='UNITED ST7', d_year=1994, revenue=61097980.0)
Row(c_city='UNITED ST6', s_city='UNITED ST0', d_year=1994, revenue=59316163.0)
Row(c_city='UNITED ST5', s_city='UNITED ST1', d_year=1994, revenue=59132842.0)
Row(c_city='UNITED ST3', s_city='UNITED ST7', d_year=1994, revenue=57475978.0)
Row(c_city='UNITED ST2', s_city='UNITED ST5', d_year=1994, revenue=56722560.0)
Row(c_city='UNITED ST9', s_city='UNITED ST5', d_year=1994, revenue=56553710.0)
Row(c_city='UNITED ST0', s_city='UNITED ST5', d_year=1994, revenue=54775904.0)
Row(c_city='UNITED ST1', s_city='UNITED ST7', d_year=1994, revenue=54135682.0)
Row(c_city='UNITED ST1', s_city='UNITED ST2', d_year=1994, revenue=53206829.0)
Row(c_city='UNITED ST7', s_city='UNITED ST4', d_year=1994, revenue=53181537.0)
Row(c_city='UNITED ST6', s_city='UNITED ST7', d_year=1994, revenue=51934153.0)
Row(c_city='UNITED ST9', s_city='UNITED ST2', d_year=1994, revenue=51583379.0)
Row(c_city='UNITED ST1', s_city='UNITED ST0', d_year=1994, revenue=51392229.0)
Row(c_city='UNITED ST3', s_city='UNITED ST0', d_year=1994, revenue=48569864.0)
Row(c_city='UNITED ST1', s_city='UNITED ST8', d_year=1994, revenue=48508864.0)
Row(c_city='UNITED ST4', s_city='UNITED ST0', d_year=1994, revenue=48367944.0)
Row(c_city='UNITED ST9', s_city='UNITED ST6', d_year=1994, revenue=48184684.0)
Row(c_city='UNITED ST1', s_city='UNITED ST5', d_year=1994, revenue=47879707.0)
Row(c_city='UNITED ST0', s_city='UNITED ST8', d_year=1994, revenue=46802022.0)
Row(c_city='UNITED ST6', s_city='UNITED ST4', d_year=1994, revenue=46627334.0)
Row(c_city='UNITED ST5', s_city='UNITED ST8', d_year=1994, revenue=46201126.0)
Row(c_city='UNITED ST4', s_city='UNITED ST4', d_year=1994, revenue=46032464.0)
Row(c_city='UNITED ST3', s_city='UNITED ST4', d_year=1994, revenue=45840753.0)
Row(c_city='UNITED ST7', s_city='UNITED ST5', d_year=1994, revenue=45342276.0)
Row(c_city='UNITED ST8', s_city='UNITED ST3', d_year=1994, revenue=44385487.0)
Row(c_city='UNITED ST3', s_city='UNITED ST6', d_year=1994, revenue=43414003.0)
Row(c_city='UNITED ST7', s_city='UNITED ST9', d_year=1994, revenue=42863985.0)
Row(c_city='UNITED ST2', s_city='UNITED ST0', d_year=1994, revenue=42622569.0)
Row(c_city='UNITED ST3', s_city='UNITED ST8', d_year=1994, revenue=42502510.0)
Row(c_city='UNITED ST0', s_city='UNITED ST6', d_year=1994, revenue=41918376.0)
Row(c_city='UNITED ST8', s_city='UNITED ST2', d_year=1994, revenue=41653725.0)
Row(c_city='UNITED ST2', s_city='UNITED ST1', d_year=1994, revenue=41627891.0)
Row(c_city='UNITED ST0', s_city='UNITED ST9', d_year=1994, revenue=41429224.0)
Row(c_city='UNITED ST0', s_city='UNITED ST2', d_year=1994, revenue=41070768.0)
Row(c_city='UNITED ST1', s_city='UNITED ST1', d_year=1994, revenue=40776124.0)
Row(c_city='UNITED ST1', s_city='UNITED ST4', d_year=1994, revenue=40726948.0)
Row(c_city='UNITED ST2', s_city='UNITED ST8', d_year=1994, revenue=40371317.0)
Row(c_city='UNITED ST5', s_city='UNITED ST0', d_year=1994, revenue=40077233.0)
Row(c_city='UNITED ST9', s_city='UNITED ST1', d_year=1994, revenue=40032224.0)
Row(c_city='UNITED ST7', s_city='UNITED ST8', d_year=1994, revenue=39824872.0)
Row(c_city='UNITED ST4', s_city='UNITED ST1', d_year=1994, revenue=39766905.0)
Row(c_city='UNITED ST5', s_city='UNITED ST7', d_year=1994, revenue=39361151.0)
Row(c_city='UNITED ST6', s_city='UNITED ST1', d_year=1994, revenue=39136438.0)
Row(c_city='UNITED ST2', s_city='UNITED ST3', d_year=1994, revenue=38280769.0)
Row(c_city='UNITED ST3', s_city='UNITED ST5', d_year=1994, revenue=38221979.0)
Row(c_city='UNITED ST9', s_city='UNITED ST0', d_year=1994, revenue=38072033.0)
Row(c_city='UNITED ST7', s_city='UNITED ST2', d_year=1994, revenue=38059385.0)
Row(c_city='UNITED ST6', s_city='UNITED ST5', d_year=1994, revenue=36583510.0)
Row(c_city='UNITED ST8', s_city='UNITED ST4', d_year=1994, revenue=36464198.0)
Row(c_city='UNITED ST9', s_city='UNITED ST8', d_year=1994, revenue=36080334.0)
Row(c_city='UNITED ST0', s_city='UNITED ST1', d_year=1994, revenue=35669054.0)
Row(c_city='UNITED ST0', s_city='UNITED ST0', d_year=1994, revenue=34371284.0)
Row(c_city='UNITED ST1', s_city='UNITED ST6', d_year=1994, revenue=33861431.0)
Row(c_city='UNITED ST7', s_city='UNITED ST7', d_year=1994, revenue=33554165.0)
Row(c_city='UNITED ST5', s_city='UNITED ST5', d_year=1994, revenue=33179957.0)
Row(c_city='UNITED ST6', s_city='UNITED ST3', d_year=1994, revenue=32891513.0)
Row(c_city='UNITED ST7', s_city='UNITED ST6', d_year=1994, revenue=32729071.0)
Row(c_city='UNITED ST9', s_city='UNITED ST7', d_year=1994, revenue=32587677.0)
Row(c_city='UNITED ST7', s_city='UNITED ST3', d_year=1994, revenue=31905442.0)
Row(c_city='UNITED ST5', s_city='UNITED ST2', d_year=1994, revenue=30871274.0)
Row(c_city='UNITED ST9', s_city='UNITED ST9', d_year=1994, revenue=30680890.0)
Row(c_city='UNITED ST3', s_city='UNITED ST1', d_year=1994, revenue=29211964.0)
Row(c_city='UNITED ST3', s_city='UNITED ST2', d_year=1994, revenue=28972273.0)
Row(c_city='UNITED ST8', s_city='UNITED ST9', d_year=1994, revenue=28623352.0)
Row(c_city='UNITED ST2', s_city='UNITED ST4', d_year=1994, revenue=28526997.0)
Row(c_city='UNITED ST9', s_city='UNITED ST4', d_year=1994, revenue=28513228.0)
Row(c_city='UNITED ST8', s_city='UNITED ST1', d_year=1994, revenue=27678395.0)
Row(c_city='UNITED ST6', s_city='UNITED ST9', d_year=1994, revenue=27631089.0)
Row(c_city='UNITED ST5', s_city='UNITED ST9', d_year=1994, revenue=27317601.0)
Row(c_city='UNITED ST5', s_city='UNITED ST6', d_year=1994, revenue=25717993.0)
Row(c_city='UNITED ST0', s_city='UNITED ST3', d_year=1994, revenue=25552063.0)
Row(c_city='UNITED ST1', s_city='UNITED ST9', d_year=1994, revenue=25240672.0)
Row(c_city='UNITED ST1', s_city='UNITED ST3', d_year=1994, revenue=24675636.0)
Row(c_city='UNITED ST2', s_city='UNITED ST2', d_year=1994, revenue=24570662.0)
Row(c_city='UNITED ST8', s_city='UNITED ST5', d_year=1994, revenue=22997355.0)
Row(c_city='UNITED ST6', s_city='UNITED ST6', d_year=1994, revenue=22735547.0)
Row(c_city='UNITED ST7', s_city='UNITED ST1', d_year=1994, revenue=22558362.0)
Row(c_city='UNITED ST4', s_city='UNITED ST2', d_year=1994, revenue=21878702.0)
Row(c_city='UNITED ST4', s_city='UNITED ST8', d_year=1994, revenue=21120775.0)
Row(c_city='UNITED ST4', s_city='UNITED ST9', d_year=1994, revenue=19837369.0)
Row(c_city='UNITED ST0', s_city='UNITED ST4', d_year=1994, revenue=19302705.0)
Row(c_city='UNITED ST3', s_city='UNITED ST3', d_year=1994, revenue=19168181.0)
Row(c_city='UNITED ST5', s_city='UNITED ST4', d_year=1994, revenue=19123275.0)
Row(c_city='UNITED ST3', s_city='UNITED ST9', d_year=1994, revenue=18505095.0)
Row(c_city='UNITED ST6', s_city='UNITED ST2', d_year=1994, revenue=10153703.0)
Row(c_city='UNITED ST2', s_city='UNITED ST9', d_year=1994, revenue=8498572.0)
Row(c_city='UNITED ST6', s_city='UNITED ST8', d_year=1995, revenue=90938154.0)
Row(c_city='UNITED ST4', s_city='UNITED ST8', d_year=1995, revenue=78108269.0)
Row(c_city='UNITED ST3', s_city='UNITED ST0', d_year=1995, revenue=72163020.0)
Row(c_city='UNITED ST7', s_city='UNITED ST8', d_year=1995, revenue=70514271.0)
Row(c_city='UNITED ST2', s_city='UNITED ST2', d_year=1995, revenue=68540047.0)
Row(c_city='UNITED ST1', s_city='UNITED ST8', d_year=1995, revenue=68149410.0)
Row(c_city='UNITED ST3', s_city='UNITED ST6', d_year=1995, revenue=67471910.0)
Row(c_city='UNITED ST1', s_city='UNITED ST6', d_year=1995, revenue=65969106.0)
Row(c_city='UNITED ST5', s_city='UNITED ST8', d_year=1995, revenue=64938142.0)
Row(c_city='UNITED ST7', s_city='UNITED ST7', d_year=1995, revenue=64150423.0)
