(1997, 'UNITED ST0', 'MFGR#141 ', 18396972.0)
(1997, 'UNITED ST1', 'MFGR#1424', 9248504.0)
(1997, 'UNITED ST1', 'MFGR#1425', 31315309.0)
(1997, 'UNITED ST1', 'MFGR#1426', 15050608.0)
(1997, 'UNITED ST1', 'MFGR#1427', 21285378.0)
(1997, 'UNITED ST1', 'MFGR#1428', 19103525.0)
(1997, 'UNITED ST1', 'MFGR#1429', 18017362.0)
(1997, 'UNITED ST1', 'MFGR#143 ', 5912087.0)
(1997, 'UNITED ST1', 'MFGR#1430', 16795444.0)
(1997, 'UNITED ST1', 'MFGR#1431', 24811484.0)
(1997, 'UNITED ST1', 'MFGR#1432', 16911665.0)
(1997, 'UNITED ST1', 'MFGR#1433', 10556934.0)
(1997, 'UNITED ST1', 'MFGR#1434', 7607039.0)
(1997, 'UNITED ST1', 'MFGR#1435', 8187659.0)
(1997, 'UNITED ST1', 'MFGR#1436', 31600635.0)
(1997, 'UNITED ST1', 'MFGR#1437', 24655278.0)
(1997, 'UNITED ST1', 'MFGR#1438', 21414330.0)
(1997, 'UNITED ST1', 'MFGR#1439', 15769485.0)
(1997, 'UNITED ST1', 'MFGR#144 ', 21984889.0)
(1997, 'UNITED ST1', 'MFGR#1440', 21836734.0)
(1997, 'UNITED ST1', 'MFGR#145 ', 11714882.0)
(1997, 'UNITED ST1', 'MFGR#146 ', 23214595.0)
(1997, 'UNITED ST1', 'MFGR#147 ', 30313174.0)
(1997, 'UNITED ST1', 'MFGR#148 ', 18545064.0)
(1997, 'UNITED ST1', 'MFGR#149 ', 15506590.0)
(1997, 'UNITED ST2', 'MFGR#141 ', 33639337.0)
(1997, 'UNITED ST2', 'MFGR#1410', 14130987.0)
(1997, 'UNITED ST2', 'MFGR#1411', 9800800.0)
(1997, 'UNITED ST2', 'MFGR#1412', 11737522.0)
(1997, 'UNITED ST2', 'MFGR#1413', 4648987.0)
(1997, 'UNITED ST2', 'MFGR#1414', 28961628.0)
(1997, 'UNITED ST2', 'MFGR#1415', 14589270.0)
(1997, 'UNITED ST2', 'MFGR#1416', 14169612.0)
(1997, 'UNITED ST2', 'MFGR#1417', 25350834.0)
(1997, 'UNITED ST2', 'MFGR#1418', 18194575.0)
(1997, 'UNITED ST2', 'MFGR#1419', 28057872.0)
(1997, 'UNITED ST2', 'MFGR#142 ', 20442738.0)
(1997, 'UNITED ST2', 'MFGR#1420', 7792805.0)
(1997, 'UNITED ST2', 'MFGR#1421', 9866364.0)
(1997, 'UNITED ST2', 'MFGR#1422', 25914294.0)
(1997, 'UNITED ST2', 'MFGR#1423', 29547892.0)
(1997, 'UNITED ST2', 'MFGR#1424', 33829641.0)
(1997, 'UNITED ST2', 'MFGR#1425', 47588960.0)
(1997, 'UNITED ST2', 'MFGR#1426', 13886724.0)
(1997, 'UNITED ST2', 'MFGR#1427', 44664663.0)
(1997, 'UNITED ST2', 'MFGR#1428', 3068795.0)
(1997, 'UNITED ST2', 'MFGR#1429', 15726551.0)
(1997, 'UNITED ST2', 'MFGR#143 ', 17956679.0)
(1997, 'UNITED ST2', 'MFGR#1430', 9138089.0)
(1997, 'UNITED ST2', 'MFGR#1431', 6930065.0)
(1997, 'UNITED ST2', 'MFGR#1432', 33727180.0)
(1997, 'UNITED ST2', 'MFGR#1433', 9169269.0)
(1997, 'UNITED ST2', 'MFGR#1434', 20986659.0)
(1997, 'UNITED ST2', 'MFGR#1435', 20095008.0)
(1997, 'UNITED ST2', 'MFGR#1436', 31018000.0)
(1997, 'UNITED ST2', 'MFGR#1437', 17083563.0)
(1997, 'UNITED ST2', 'MFGR#1438', 10253963.0)
(1997, 'UNITED ST2', 'MFGR#1439', 19367605.0)
(1997, 'UNITED ST2', 'MFGR#144 ', 21241528.0)
(1997, 'UNITED ST2', 'MFGR#1440', 31752137.0)
(1997, 'UNITED ST2', 'MFGR#145 ', 9956008.0)
(1997, 'UNITED ST2', 'MFGR#146 ', 4935685.0)
(1997, 'UNITED ST2', 'MFGR#147 ', 14371160.0)
(1997, 'UNITED ST2', 'MFGR#148 ', 18595754.0)
(1997, 'UNITED ST2', 'MFGR#149 ', 42612494.0)
(1997, 'UNITED ST3', 'MFGR#141 ', 41723103.0)
(1997, 'UNITED ST3', 'MFGR#1410', 25510701.0)
(1997, 'UNITED ST3', 'MFGR#1411', 31008056.0)
(1997, 'UNITED ST3', 'MFGR#1412', 14462204.0)
(1997, 'UNITED ST3', 'MFGR#1413', 23416177.0)
(1997, 'UNITED ST3', 'MFGR#1414', 1597884.0)
(1997, 'UNITED ST3', 'MFGR#1415', 29893706.0)
(1997, 'UNITED ST3', 'MFGR#1416', 62416261.0)
(1997, 'UNITED ST3', 'MFGR#1417', 31128754.0)
(1997, 'UNITED ST3', 'MFGR#1418', 11633484.0)
(1997, 'UNITED ST3', 'MFGR#1419', 17419543.0)
(1997, 'UNITED ST3', 'MFGR#142 ', 30793517.0)
(1997, 'UNITED ST3', 'MFGR#1420', 10283905.0)
(1997, 'UNITED ST3', 'MFGR#1421', 24707559.0)
(1997, 'UNITED ST3', 'MFGR#1422', 18670768.0)
(1997, 'UNITED ST3', 'MFGR#1423', 13407195.0)
(1997, 'UNITED ST3', 'MFGR#1424', 24977160.0)
(1997, 'UNITED ST3', 'MFGR#1425', 21644942.0)
(1997, 'UNITED ST3', 'MFGR#1426', 15687455.0)
(1997, 'UNITED ST3', 'MFGR#1427', 15786205.0)
(1997, 'UNITED ST3', 'MFGR#1428', 11134541.0)
(1997, 'UNITED ST3', 'MFGR#1429', 15816248.0)
(1997, 'UNITED ST3', 'MFGR#143 ', 15105081.0)
(1997, 'UNITED ST3', 'MFGR#1430', 21934797.0)
(1997, 'UNITED ST3', 'MFGR#1431', 59745276.0)
(1997, 'UNITED ST3', 'MFGR#1432', 36496710.0)
(1997, 'UNITED ST3', 'MFGR#1433', 4676944.0)
(1997, 'UNITED ST3', 'MFGR#1434', 16857881.0)
(1997, 'UNITED ST3', 'MFGR#1435', 17046332.0)
(1997, 'UNITED ST3', 'MFGR#1436', 26307368.0)
(1997, 'UNITED ST3', 'MFGR#1437', 7479542.0)
(1997, 'UNITED ST3', 'MFGR#1438', 37228661.0)
(1997, 'UNITED ST3', 'MFGR#1439', 11589375.0)
(1997, 'UNITED ST3', 'MFGR#144 ', 38297961.0)
(1997, 'UNITED ST3', 'MFGR#1440', 3587930.0)
(1997, 'UNITED ST3', 'MFGR#145 ', 37968490.0)
(1997, 'UNITED ST3', 'MFGR#146 ', 18021114.0)
(1997, 'UNITED ST3', 'MFGR#147 ', 17030971.0)
(1997, 'UNITED ST3', 'MFGR#148 ', 30500963.0)
(1997, 'UNITED ST3', 'MFGR#149 ', 27917864.0)
(1997, 'UNITED ST4', 'MFGR#141 ', 9005897.0)
(1997, 'UNITED ST4', 'MFGR#1410', 19342919.0)
(1997, 'UNITED ST4', 'MFGR#1411', 11365118.0)
(1997, 'UNITED ST4', 'MFGR#1412', 19414450.0)
(1997, 'UNITED ST4', 'MFGR#1413', 17342427.0)
(1997, 'UNITED ST4', 'MFGR#1414', 28038156.0)
(1997, 'UNITED ST4', 'MFGR#1415', 17773365.0)
(1997, 'UNITED ST4', 'MFGR#1416', 25834967.0)
(1997, 'UNITED ST4', 'MFGR#1417', 3882612.0)
(1997, 'UNITED ST4', 'MFGR#1418', 11735220.0)
(1997, 'UNITED ST4', 'MFGR#1419', 25502010.0)
(1997, 'UNITED ST4', 'MFGR#142 ', 13718442.0)
(1997, 'UNITED ST4', 'MFGR#1420', 16332183.0)
(1997, 'UNITED ST4', 'MFGR#1421', 28308802.0)
(1997, 'UNITED ST4', 'MFGR#1422', 7616282.0)
(1997, 'UNITED ST4', 'MFGR#1423', 32136812.0)
(1997, 'UNITED ST4', 'MFGR#1424', 20124789.0)
(1997, 'UNITED ST4', 'MFGR#1425', 21879102.0)
(1997, 'UNITED ST4', 'MFGR#1426', 12193945.0)
(1997, 'UNITED ST4', 'MFGR#1427', 12662777.0)
(1997, 'UNITED ST4', 'MFGR#1428', 24677518.0)
(1997, 'UNITED ST4', 'MFGR#1429', 7933469.0)
(1997, 'UNITED ST4', 'MFGR#143 ', 23999287.0)
(1997, 'UNITED ST4', 'MFGR#1430', 12738930.0)
(1997, 'UNITED ST4', 'MFGR#1431', 13805728.0)
(1997, 'UNITED ST4', 'MFGR#1432', 18147074.0)
(1997, 'UNITED ST4', 'MFGR#1433', 10722111.0)
(1997, 'UNITED ST4', 'MFGR#1434', 28980886.0)
(1997, 'UNITED ST4', 'MFGR#1435', 8523442.0)
(1997, 'UNITED ST4', 'MFGR#1436', 13756644.0)
(1997, 'UNITED ST4', 'MFGR#1437', 7423020.0)
(1997, 'UNITED ST4', 'MFGR#1438', 5176520.0)
(1997, 'UNITED ST4', 'MFGR#1439', 6992795.0)
(1997, 'UNITED ST4', 'MFGR#144 ', 14569244.0)
(1997, 'UNITED ST4', 'MFGR#1440', 25000065.0)
(1997, 'UNITED ST4', 'MFGR#145 ', 30306958.0)
(1997, 'UNITED ST4', 'MFGR#146 ', 9507998.0)
(1997, 'UNITED ST4', 'MFGR#147 ', 19695696.0)
(1997, 'UNITED ST4', 'MFGR#148 ', 41882816.0)
(1997, 'UNITED ST4', 'MFGR#149 ', 40175555.0)
(1997, 'UNITED ST5', 'MFGR#141 ', 42108737.0)
(1997, 'UNITED ST5', 'MFGR#1410', 19509401.0)
(1997, 'UNITED ST5', 'MFGR#1411', 29456941.0)
(1997, 'UNITED ST5', 'MFGR#1412', 29681889.0)
(1997, 'UNITED ST5', 'MFGR#1413', 13487068.0)
(1997, 'UNITED ST5', 'MFGR#1414', 17127745.0)
(1997, 'UNITED ST5', 'MFGR#1415', 23022217.0)
(1997, 'UNITED ST5', 'MFGR#1416', 20161444.0)
(1997, 'UNITED ST5', 'MFGR#1417', 18840089.0)
(1997, 'UNITED ST5', 'MFGR#1418', 13645926.0)
(1997, 'UNITED ST5', 'MFGR#1419', 19873274.0)
(1997, 'UNITED ST5', 'MFGR#142 ', 23415438.0)
(1997, 'UNITED ST5', 'MFGR#1420', 22199613.0)
(1997, 'UNITED ST5', 'MFGR#1421', 16897229.0)
(1997, 'UNITED ST5', 'MFGR#1422', 40614556.0)
(1997, 'UNITED ST5', 'MFGR#1423', 48257625.0)
(1997, 'UNITED ST5', 'MFGR#1424', 22641315.0)
(1997, 'UNITED ST5', 'MFGR#1425', 25352689.0)
(1997, 'UNITED ST5', 'MFGR#1426', 27398547.0)
(1997, 'UNITED ST5', 'MFGR#1427', 33376668.0)
(1997, 'UNITED ST5', 'MFGR#1428', 31231523.0)
(1997, 'UNITED ST5', 'MFGR#1429', 28711350.0)
(1997, 'UNITED ST5', 'MFGR#143 ', 20467541.0)
(1997, 'UNITED ST5', 'MFGR#1430', 7843655.0)
(1997, 'UNITED ST5', 'MFGR#1431', 26903947.0)
(1997, 'UNITED ST5', 'MFGR#1432', 10697264.0)
(1997, 'UNITED ST5', 'MFGR#1433', 18310768.0)
(1997, 'UNITED ST5', 'MFGR#1434', 30561047.0)
(1997, 'UNITED ST5', 'MFGR#1435', 25035000.0)
(1997, 'UNITED ST5', 'MFGR#1436', 24990891.0)
(1997, 'UNITED ST5', 'MFGR#1437', 24639545.0)
(1997, 'UNITED ST5', 'MFGR#1438', 29222337.0)
(1997, 'UNITED ST5', 'MFGR#1439', 10779609.0)
(1997, 'UNITED ST5', 'MFGR#144 ', 13482675.0)
(1997, 'UNITED ST5', 'MFGR#1440', 9611218.0)
(1997, 'UNITED ST5', 'MFGR#145 ', 26994692.0)
(1997, 'UNITED ST5', 'MFGR#146 ', 9118223.0)
(1997, 'UNITED ST5', 'MFGR#147 ', 9134255.0)
(1997, 'UNITED ST5', 'MFGR#148 ', 21057170.0)
(1997, 'UNITED ST5', 'MFGR#149 ', 10864499.0)
(1997, 'UNITED ST6', 'MFGR#141 ', 33660680.0)
(1997, 'UNITED ST6', 'MFGR#1410', 8649620.0)
(1997, 'UNITED ST6', 'MFGR#1411', 15584730.0)
(1997, 'UNITED ST6', 'MFGR#1412', 23354998.0)
(1997, 'UNITED ST6', 'MFGR#1413', 24170229.0)
(1997, 'UNITED ST6', 'MFGR#1414', 31889503.0)
(1997, 'UNITED ST6', 'MFGR#1415', 35844317.0)
(1997, 'UNITED ST6', 'MFGR#1416', 17610040.0)
(1997, 'UNITED ST6', 'MFGR#1417', 39424119.0)
(1997, 'UNITED ST6', 'MFGR#1418', 20359190.0)
(1997, 'UNITED ST6', 'MFGR#1419', 31691239.0)
(1997, 'UNITED ST6', 'MFGR#142 ', 48932216.0)
(1997, 'UNITED ST6', 'MFGR#1420', 30730053.0)
(1997, 'UNITED ST6', 'MFGR#1421', 22580892.0)
(1997, 'UNITED ST6', 'MFGR#1422', 5112421.0)
(1997, 'UNITED ST6', 'MFGR#1423', 4418632.0)
(1997, 'UNITED ST6', 'MFGR#1424', 21532900.0)
(1997, 'UNITED ST6', 'MFGR#1425', 32378745.0)
(1997, 'UNITED ST6', 'MFGR#1426', 31990821.0)
(1997, 'UNITED ST6', 'MFGR#1427', 15045556.0)
(1997, 'UNITED ST6', 'MFGR#1428', 26911041.0)
(1997, 'UNITED ST6', 'MFGR#1429', 21073282.0)
(1997, 'UNITED ST6', 'MFGR#143 ', 6839848.0)
(1997, 'UNITED ST6', 'MFGR#1430', 15510103.0)
(1997, 'UNITED ST6', 'MFGR#1431', 33290120.0)
(1997, 'UNITED ST6', 'MFGR#1432', 31564370.0)
(1997, 'UNITED ST6', 'MFGR#1433', 19821963.0)
(1997, 'UNITED ST6', 'MFGR#1434', 45857644.0)
(1997, 'UNITED ST6', 'MFGR#1435', 39452545.0)
(1997, 'UNITED ST6', 'MFGR#1436', 8837139.0)
(1997, 'UNITED ST6', 'MFGR#1437', 34612900.0)
(1997, 'UNITED ST6', 'MFGR#1438', 22252067.0)
(1997, 'UNITED ST6', 'MFGR#1439', 26937665.0)
(1997, 'UNITED ST6', 'MFGR#144 ', 23789632.0)
(1997, 'UNITED ST6', 'MFGR#1440', 20812125.0)
(1997, 'UNITED ST6', 'MFGR#145 ', 26867504.0)
(1997, 'UNITED ST6', 'MFGR#146 ', 33504599.0)
(1997, 'UNITED ST6', 'MFGR#147 ', 9540151.0)
(1997, 'UNITED ST6', 'MFGR#148 ', 46249478.0)
(1997, 'UNITED ST6', 'MFGR#149 ', 8683456.0)
(1997, 'UNITED ST7', 'MFGR#141 ', 9458426.0)
(1997, 'UNITED ST7', 'MFGR#1410', 22268721.0)
(1997, 'UNITED ST7', 'MFGR#1411', 11588962.0)
(1997, 'UNITED ST7', 'MFGR#1412', 2338755.0)
(1997, 'UNITED ST7', 'MFGR#1413', 9947094.0)
(1997, 'UNITED ST7', 'MFGR#1414', 19868399.0)
(1997, 'UNITED ST7', 'MFGR#1415', 26272817.0)
(1997, 'UNITED ST7', 'MFGR#1416', 17400623.0)
(1997, 'UNITED ST7', 'MFGR#1417', 22681310.0)
(1997, 'UNITED ST7', 'MFGR#1418', 29453508.0)
(1997, 'UNITED ST7', 'MFGR#1419', 23962220.0)
(1997, 'UNITED ST7', 'MFGR#142 ', 18077780.0)
(1997, 'UNITED ST7', 'MFGR#1420', 36065547.0)
(1997, 'UNITED ST7', 'MFGR#1421', 36475148.0)
(1997, 'UNITED ST7', 'MFGR#1422', 25417241.0)
(1997, 'UNITED ST7', 'MFGR#1423', 11911867.0)
(1997, 'UNITED ST7', 'MFGR#1424', 15527943.0)
(1997, 'UNITED ST7', 'MFGR#1425', 8745993.0)
(1997, 'UNITED ST7', 'MFGR#1426', 24943750.0)
(1997, 'UNITED ST7', 'MFGR#1427', 12914051.0)
(1997, 'UNITED ST7', 'MFGR#1428', 15089129.0)
(1997, 'UNITED ST7', 'MFGR#1429', 8249794.0)
(1997, 'UNITED ST7', 'MFGR#143 ', 18920182.0)
(1997, 'UNITED ST7', 'MFGR#1430', 24698841.0)
(1997, 'UNITED ST7', 'MFGR#1431', 14486546.0)
(1997, 'UNITED ST7', 'MFGR#1432', 6461708.0)
(1997, 'UNITED ST7', 'MFGR#1433', 18499690.0)
(1997, 'UNITED ST7', 'MFGR#1434', 28368118.0)
(1997, 'UNITED ST7', 'MFGR#1435', 17031674.0)
(1997, 'UNITED ST7', 'MFGR#1436', 7362776.0)
(1997, 'UNITED ST7', 'MFGR#1437', 16554676.0)
(1997, 'UNITED ST7', 'MFGR#1438', 16550229.0)
(1997, 'UNITED ST7', 'MFGR#1439', 31553610.0)
(1997, 'UNITED ST7', 'MFGR#144 ', 32135861.0)
(1997, 'UNITED ST7', 'MFGR#1440', 6635604.0)
(1997, 'UNITED ST7', 'MFGR#145 ', 16676546.0)
(1997, 'UNITED ST7', 'MFGR#146 ', 16109439.0)
(1997, 'UNITED ST7', 'MFGR#147 ', 10259586.0)
(1997, 'UNITED ST7', 'MFGR#148 ', 14692389.0)
(1997, 'UNITED ST7', 'MFGR#149 ', 15231204.0)
(1997, 'UNITED ST8', 'MFGR#141 ', 18075899.0)
(1997, 'UNITED ST8', 'MFGR#1410', 3594663.0)
(1997, 'UNITED ST8', 'MFGR#1411', 9677302.0)
(1997, 'UNITED ST8', 'MFGR#1412', 35085400.0)
(1997, 'UNITED ST8', 'MFGR#1413', 22036212.0)
(1997, 'UNITED ST8', 'MFGR#1414', 3548374.0)
(1997, 'UNITED ST8', 'MFGR#1415', 18655878.0)
(1997, 'UNITED ST8', 'MFGR#1416', 4477768.0)
(1997, 'UNITED ST8', 'MFGR#1417', 9714625.0)
(1997, 'UNITED ST8', 'MFGR#1418', 24059983.0)
(1997, 'UNITED ST8', 'MFGR#1419', 16778956.0)
(1997, 'UNITED ST8', 'MFGR#142 ', 8886623.0)
(1997, 'UNITED ST8', 'MFGR#1420', 27154652.0)
(1997, 'UNITED ST8', 'MFGR#1421', 5733320.0)
(1997, 'UNITED ST8', 'MFGR#1422', 16653678.0)
(1997, 'UNITED ST8', 'MFGR#1423', 37054612.0)
(1997, 'UNITED ST8', 'MFGR#1424', 14111642.0)
(1997, 'UNITED ST8', 'MFGR#1425', 14741185.0)
(1997, 'UNITED ST8', 'MFGR#1426', 17124305.0)
(1997, 'UNITED ST8', 'MFGR#1427', 53514161.0)
(1997, 'UNITED ST8', 'MFGR#1428', 45369261.0)
(1997, 'UNITED ST8', 'MFGR#1429', 8308817.0)
(1997, 'UNITED ST8', 'MFGR#143 ', 9244174.0)
(1997, 'UNITED ST8', 'MFGR#1430', 21026795.0)
(1997, 'UNITED ST8', 'MFGR#1431', 32879295.0)
(1997, 'UNITED ST8', 'MFGR#1432', 23871948.0)
(1997, 'UNITED ST8', 'MFGR#1433', 9594371.0)
(1997, 'UNITED ST8', 'MFGR#1434', 35594272.0)
(1997, 'UNITED ST8', 'MFGR#1435', 7596581.0)
(1997, 'UNITED ST8', 'MFGR#1436', 11265613.0)
(1997, 'UNITED ST8', 'MFGR#1437', 20175286.0)
(1997, 'UNITED ST8', 'MFGR#1438', 12307990.0)
(1997, 'UNITED ST8', 'MFGR#1439', 13549831.0)
(1997, 'UNITED ST8', 'MFGR#144 ', 5450553.0)
(1997, 'UNITED ST8', 'MFGR#1440', 30047594.0)
(1997, 'UNITED ST8', 'MFGR#145 ', 8251316.0)
(1997, 'UNITED ST8', 'MFGR#146 ', 13493105.0)
(1997, 'UNITED ST8', 'MFGR#147 ', 17609881.0)
(1997, 'UNITED ST8', 'MFGR#148 ', 32039514.0)
(1997, 'UNITED ST8', 'MFGR#149 ', 21082142.0)
(1997, 'UNITED ST9', 'MFGR#141 ', 26641853.0)
(1997, 'UNITED ST9', 'MFGR#1410', 14110244.0)
(1997, 'UNITED ST9', 'MFGR#1411', 30909618.0)
(1997, 'UNITED ST9', 'MFGR#1412', 41034693.0)
(1997, 'UNITED ST9', 'MFGR#1413', 23766411.0)
(1997, 'UNITED ST9', 'MFGR#1414', 35595199.0)
(1997, 'UNITED ST9', 'MFGR#1415', 21809266.0)
(1997, 'UNITED ST9', 'MFGR#1416', 18918411.0)
(1997, 'UNITED ST9', 'MFGR#1417', 25259658.0)
(1997, 'UNITED ST9', 'MFGR#1418', 27631546.0)
(1997, 'UNITED ST9', 'MFGR#1419', 30136927.0)
(1997, 'UNITED ST9', 'MFGR#142 ', 38764131.0)
(1997, 'UNITED ST9', 'MFGR#1420', 24863078.0)
(1997, 'UNITED ST9', 'MFGR#1421', 24015475.0)
(1997, 'UNITED ST9', 'MFGR#1422', 44698896.0)
(1997, 'UNITED ST9', 'MFGR#1423', 35001471.0)
(1997, 'UNITED ST9', 'MFGR#1424', 29048148.0)
(1997, 'UNITED ST9', 'MFGR#1425', 25450868.0)
(1997, 'UNITED ST9', 'MFGR#1426', 12919300.0)
(1997, 'UNITED ST9', 'MFGR#1427', 13177446.0)
(1997, 'UNITED ST9', 'MFGR#1428', 15485546.0)
(1997, 'UNITED ST9', 'MFGR#1429', 3711428.0)
(1997, 'UNITED ST9', 'MFGR#143 ', 8123209.0)
(1997, 'UNITED ST9', 'MFGR#1430', 18837638.0)
(1997, 'UNITED ST9', 'MFGR#1431', 14540062.0)
(1997, 'UNITED ST9', 'MFGR#1432', 21097050.0)
(1997, 'UNITED ST9', 'MFGR#1433', 27457143.0)
(1997, 'UNITED ST9', 'MFGR#1434', 25724373.0)
(1997, 'UNITED ST9', 'MFGR#1435', 20499539.0)
(1997, 'UNITED ST9', 'MFGR#1436', 27518809.0)
(1997, 'UNITED ST9', 'MFGR#1437', 15632184.0)
(1997, 'UNITED ST9', 'MFGR#1438', 10566451.0)
(1997, 'UNITED ST9', 'MFGR#1439', 15367029.0)
(1997, 'UNITED ST9', 'MFGR#144 ', 11505242.0)
(1997, 'UNITED ST9', 'MFGR#1440', 15231061.0)
(1997, 'UNITED ST9', 'MFGR#145 ', 2148400.0)
(1997, 'UNITED ST9', 'MFGR#146 ', 17397378.0)
(1997, 'UNITED ST9', 'MFGR#147 ', 30744990.0)
(1997, 'UNITED ST9', 'MFGR#148 ', 12290788.0)
(1997, 'UNITED ST9', 'MFGR#149 ', 13043255.0)
(1998, 'UNITED ST0', 'MFGR#141 ', 28016875.0)
(1998, 'UNITED ST0', 'MFGR#1410', 19796284.0)
(1998, 'UNITED ST0', 'MFGR#1411', 14241878.0)
(1998, 'UNITED ST0', 'MFGR#1412', 15991584.0)
(1998, 'UNITED ST0', 'MFGR#1413', 21489937.0)
(1998, 'UNITED ST0', 'MFGR#1414', 4868061.0)
(1998, 'UNITED ST0', 'MFGR#1415', 8817042.0)
(1998, 'UNITED ST0', 'MFGR#1416', 21392330.0)
(1998, 'UNITED ST0', 'MFGR#1417', 21347463.0)
(1998, 'UNITED ST0', 'MFGR#1418', 12877418.0)
(1998, 'UNITED ST0', 'MFGR#1419', 7435654.0)
(1998, 'UNITED ST0', 'MFGR#142 ', 10196977.0)
(1998, 'UNITED ST0', 'MFGR#1420', 31371100.0)
(1998, 'UNITED ST0', 'MFGR#1421', 18625674.0)
(1998, 'UNITED ST0', 'MFGR#1422', 12563558.0)
(1998, 'UNITED ST0', 'MFGR#1423', 27222763.0)
(1998, 'UNITED ST0', 'MFGR#1424', 24345415.0)
(1998, 'UNITED ST0', 'MFGR#1426', 10800911.0)
(1998, 'UNITED ST0', 'MFGR#1427', 1722235.0)
(1998, 'UNITED ST0', 'MFGR#1429', 8946680.0)
(1998, 'UNITED ST0', 'MFGR#143 ', 8121565.0)
(1998, 'UNITED ST0', 'MFGR#1430', 15598979.0)
(1998, 'UNITED ST0', 'MFGR#1431', 19179659.0)
(1998, 'UNITED ST0', 'MFGR#1432', 7589113.0)
(1998, 'UNITED ST0', 'MFGR#1433', 24537074.0)
(1998, 'UNITED ST0', 'MFGR#1434', 14053567.0)
(1998, 'UNITED ST0', 'MFGR#1435', 11338759.0)
(1998, 'UNITED ST0', 'MFGR#1436', 13065000.0)
(1998, 'UNITED ST0', 'MFGR#1437', 4373210.0)
(1998, 'UNITED ST0', 'MFGR#1438', 13904922.0)
(1998, 'UNITED ST0', 'MFGR#1439', 18404643.0)
(1998, 'UNITED ST0', 'MFGR#144 ', 7426597.0)
(1998, 'UNITED ST0', 'MFGR#1440', 7761021.0)
