(1997, 'UNITED ST0', 'MFGR#1410', 2963.0)
(1997, 'UNITED ST6', 'MFGR#145 ', 5681438.0)
(1997, 'UNITED ST6', 'MFGR#147 ', 5061952.0)
(1997, 'UNITED ST6', 'MFGR#149 ', 1674309.0)
(1997, 'UNITED ST7', 'MFGR#1413', 519319.0)
(1997, 'UNITED ST7', 'MFGR#1414', 8521553.0)
(1997, 'UNITED ST7', 'MFGR#1415', 3206727.0)
(1997, 'UNITED ST7', 'MFGR#1417', 2648629.0)
(1997, 'UNITED ST7', 'MFGR#1418', 2076334.0)
(1997, 'UNITED ST7', 'MFGR#1421', 1392366.0)
(1997, 'UNITED ST7', 'MFGR#1424', -115736.0)
(1997, 'UNITED ST7', 'MFGR#1426', 2434492.0)
(1997, 'UNITED ST7', 'MFGR#1427', 7439709.0)
(1997, 'UNITED ST7', 'MFGR#143 ', 7927477.0)
(1997, 'UNITED ST7', 'MFGR#1430', 4506595.0)
(1997, 'UNITED ST7', 'MFGR#1431', 310181.0)
(1997, 'UNITED ST7', 'MFGR#1434', 11154125.0)
(1997, 'UNITED ST7', 'MFGR#1435', 3182641.0)
(1997, 'UNITED ST7', 'MFGR#1436', 4865652.0)
(1997, 'UNITED ST7', 'MFGR#1437', 1007070.0)
(1997, 'UNITED ST7', 'MFGR#1439', 2073383.0)
(1997, 'UNITED ST7', 'MFGR#144 ', 71312.0)
(1997, 'UNITED ST7', 'MFGR#1440', 1217699.0)
(1997, 'UNITED ST7', 'MFGR#148 ', 2700142.0)
(1997, 'UNITED ST8', 'MFGR#141 ', -57903.0)
(1997, 'UNITED ST8', 'MFGR#1410', 6219499.0)
(1997, 'UNITED ST8', 'MFGR#1412', 12598959.0)
(1997, 'UNITED ST8', 'MFGR#1413', 4953490.0)
(1997, 'UNITED ST8', 'MFGR#1414', -81683.0)
(1997, 'UNITED ST8', 'MFGR#1415', 3355546.0)
(1997, 'UNITED ST8', 'MFGR#1416', 1245748.0)
(1997, 'UNITED ST8', 'MFGR#1417', 3427811.0)
(1997, 'UNITED ST8', 'MFGR#1423', 7725642.0)
(1997, 'UNITED ST8', 'MFGR#1425', 2346882.0)
(1997, 'UNITED ST8', 'MFGR#1427', -94115.0)
(1997, 'UNITED ST8', 'MFGR#1428', 1796085.0)
(1997, 'UNITED ST8', 'MFGR#1429', 3092575.0)
(1997, 'UNITED ST8', 'MFGR#1430', -92915.0)
(1997, 'UNITED ST8', 'MFGR#1431', 4647543.0)
(1997, 'UNITED ST8', 'MFGR#1432', 3707824.0)
(1997, 'UNITED ST8', 'MFGR#1434', 3628847.0)
(1997, 'UNITED ST8', 'MFGR#1435', 7100029.0)
(1997, 'UNITED ST8', 'MFGR#1438', -117892.0)
(1997, 'UNITED ST8', 'MFGR#1439', 4419351.0)
(1997, 'UNITED ST8', 'MFGR#144 ', -115615.0)
(1997, 'UNITED ST8', 'MFGR#1440', 39046.0)
(1997, 'UNITED ST8', 'MFGR#147 ', 5835809.0)
(1997, 'UNITED ST9', 'MFGR#141 ', 7537192.0)
(1997, 'UNITED ST9', 'MFGR#1410', 1926372.0)
(1997, 'UNITED ST9', 'MFGR#1415', 5411075.0)
(1997, 'UNITED ST9', 'MFGR#1417', 2848275.0)
(1997, 'UNITED ST9', 'MFGR#1418', 5177097.0)
(1997, 'UNITED ST9', 'MFGR#1421', 2426387.0)
(1997, 'UNITED ST9', 'MFGR#1423', -64320.0)
(1997, 'UNITED ST9', 'MFGR#1424', 5319870.0)
(1997, 'UNITED ST9', 'MFGR#1427', 7487160.0)
(1997, 'UNITED ST9', 'MFGR#1428', 4831387.0)
(1997, 'UNITED ST9', 'MFGR#1431', 4769820.0)
(1997, 'UNITED ST9', 'MFGR#1433', 8772982.0)
(1997, 'UNITED ST9', 'MFGR#1434', 7160182.0)
(1997, 'UNITED ST9', 'MFGR#1439', -97239.0)
(1997, 'UNITED ST9', 'MFGR#144 ', 4079896.0)
(1997, 'UNITED ST9', 'MFGR#1440', -67864.0)
(1997, 'UNITED ST9', 'MFGR#145 ', 6763262.0)
(1997, 'UNITED ST9', 'MFGR#146 ', 5187213.0)
(1997, 'UNITED ST9', 'MFGR#148 ', 408040.0)
(1997, 'UNITED ST9', 'MFGR#149 ', 5619133.0)
(1998, 'UNITED ST0', 'MFGR#1413', 2289152.0)
(1998, 'UNITED ST0', 'MFGR#1416', 174011.0)
(1998, 'UNITED ST0', 'MFGR#1420', 2418581.0)
(1998, 'UNITED ST0', 'MFGR#1424', 2244027.0)
(1998, 'UNITED ST0', 'MFGR#1431', 7531740.0)
(1998, 'UNITED ST0', 'MFGR#1432', 4081859.0)
(1998, 'UNITED ST0', 'MFGR#1433', 847273.0)
(1998, 'UNITED ST0', 'MFGR#1435', 4262288.0)
(1998, 'UNITED ST0', 'MFGR#144 ', 4470212.0)
(1998, 'UNITED ST0', 'MFGR#1440', 11070181.0)
(1998, 'UNITED ST0', 'MFGR#145 ', 8474395.0)
(1998, 'UNITED ST0', 'MFGR#147 ', -82945.0)
(1998, 'UNITED ST0', 'MFGR#148 ', 5853355.0)
(1998, 'UNITED ST0', 'MFGR#149 ', 7282266.0)
(1998, 'UNITED ST1', 'MFGR#1413', 1374204.0)
(1998, 'UNITED ST1', 'MFGR#1417', 1402009.0)
(1998, 'UNITED ST1', 'MFGR#1418', 2023078.0)
(1998, 'UNITED ST1', 'MFGR#1420', -94540.0)
(1998, 'UNITED ST1', 'MFGR#1421', 2829463.0)
(1998, 'UNITED ST1', 'MFGR#143 ', -80662.0)
(1998, 'UNITED ST1', 'MFGR#1437', 4197796.0)
(1998, 'UNITED ST1', 'MFGR#1438', 1266450.0)
(1998, 'UNITED ST1', 'MFGR#1440', 2747623.0)
(1998, 'UNITED ST1', 'MFGR#148 ', 4632943.0)
(1998, 'UNITED ST2', 'MFGR#1410', 6073550.0)
(1998, 'UNITED ST2', 'MFGR#1416', 9648417.0)
(1998, 'UNITED ST2', 'MFGR#1417', 3177459.0)
(1998, 'UNITED ST2', 'MFGR#142 ', -65347.0)
(1998, 'UNITED ST2', 'MFGR#1420', 606172.0)
(1998, 'UNITED ST2', 'MFGR#1421', 2149678.0)
(1998, 'UNITED ST2', 'MFGR#1428', 4353168.0)
(1998, 'UNITED ST2', 'MFGR#1429', -86368.0)
(1998, 'UNITED ST2', 'MFGR#1433', 6917944.0)
(1998, 'UNITED ST2', 'MFGR#1438', -116456.0)
(1998, 'UNITED ST2', 'MFGR#1439', -85884.0)
(1998, 'UNITED ST2', 'MFGR#144 ', 9804939.0)
(1998, 'UNITED ST2', 'MFGR#145 ', -113992.0)
(1998, 'UNITED ST3', 'MFGR#141 ', -98494.0)
(1998, 'UNITED ST3', 'MFGR#1411', 13385397.0)
(1998, 'UNITED ST3', 'MFGR#1412', 5067154.0)
(1998, 'UNITED ST3', 'MFGR#1416', -81265.0)
(1998, 'UNITED ST3', 'MFGR#1418', 3686182.0)
(1998, 'UNITED ST3', 'MFGR#142 ', 319066.0)
(1998, 'UNITED ST3', 'MFGR#1420', 5742988.0)
(1998, 'UNITED ST3', 'MFGR#1424', 1174709.0)
(1998, 'UNITED ST3', 'MFGR#1427', 1199797.0)
(1998, 'UNITED ST3', 'MFGR#1431', 5786076.0)
(1998, 'UNITED ST3', 'MFGR#1434', 4930602.0)
(1998, 'UNITED ST3', 'MFGR#147 ', 7177129.0)
(1998, 'UNITED ST3', 'MFGR#148 ', 1368467.0)
(1998, 'UNITED ST3', 'MFGR#149 ', 39658.0)
(1998, 'UNITED ST4', 'MFGR#1410', 9496127.0)
(1998, 'UNITED ST4', 'MFGR#1411', 2102361.0)
(1998, 'UNITED ST4', 'MFGR#1414', 5716211.0)
(1998, 'UNITED ST4', 'MFGR#1420', 4819482.0)
(1998, 'UNITED ST4', 'MFGR#1422', 6096480.0)
(1998, 'UNITED ST4', 'MFGR#1424', 2195203.0)
(1998, 'UNITED ST4', 'MFGR#1432', -103248.0)
(1998, 'UNITED ST4', 'MFGR#1436', 1726544.0)
(1998, 'UNITED ST4', 'MFGR#1439', 2270327.0)
(1998, 'UNITED ST4', 'MFGR#144 ', 601818.0)
(1998, 'UNITED ST5', 'MFGR#1414', 2306885.0)
(1998, 'UNITED ST5', 'MFGR#1417', 2479053.0)
(1998, 'UNITED ST5', 'MFGR#1419', -90085.0)
(1998, 'UNITED ST5', 'MFGR#1424', -88888.0)
(1998, 'UNITED ST5', 'MFGR#1426', 3182436.0)
(1998, 'UNITED ST5', 'MFGR#1427', 5907033.0)
(1998, 'UNITED ST5', 'MFGR#1428', -117592.0)
(1998, 'UNITED ST5', 'MFGR#1429', 2480812.0)
(1998, 'UNITED ST5', 'MFGR#1431', -102697.0)
(1998, 'UNITED ST5', 'MFGR#1436', 34599.0)
(1998, 'UNITED ST5', 'MFGR#1437', -84382.0)
(1998, 'UNITED ST5', 'MFGR#1439', -113937.0)
(1998, 'UNITED ST5', 'MFGR#1440', 944947.0)
(1998, 'UNITED ST5', 'MFGR#149 ', 3288198.0)
(1998, 'UNITED ST6', 'MFGR#141 ', -86189.0)
(1998, 'UNITED ST6', 'MFGR#1410', -97899.0)
(1998, 'UNITED ST6', 'MFGR#1412', -58320.0)
(1998, 'UNITED ST6', 'MFGR#1413', 492258.0)
(1998, 'UNITED ST6', 'MFGR#1415', 556217.0)
(1998, 'UNITED ST6', 'MFGR#1416', 5512703.0)
(1998, 'UNITED ST6', 'MFGR#1417', 6327218.0)
(1998, 'UNITED ST6', 'MFGR#1419', 2284731.0)
(1998, 'UNITED ST6', 'MFGR#1421', 8685571.0)
(1998, 'UNITED ST6', 'MFGR#1424', 3863423.0)
(1998, 'UNITED ST6', 'MFGR#1428', 1817853.0)
(1998, 'UNITED ST6', 'MFGR#143 ', 2074909.0)
(1998, 'UNITED ST6', 'MFGR#1432', 5306280.0)
(1998, 'UNITED ST6', 'MFGR#1436', 2059291.0)
(1998, 'UNITED ST6', 'MFGR#1437', -102157.0)
(1998, 'UNITED ST6', 'MFGR#1438', 5622640.0)
(1998, 'UNITED ST6', 'MFGR#1440', 2478526.0)
(1998, 'UNITED ST6', 'MFGR#145 ', 4013402.0)
(1998, 'UNITED ST6', 'MFGR#147 ', 4246082.0)
(1998, 'UNITED ST7', 'MFGR#1412', 1939906.0)
(1998, 'UNITED ST7', 'MFGR#1413', 7884825.0)
(1998, 'UNITED ST7', 'MFGR#1414', 10222369.0)
(1998, 'UNITED ST7', 'MFGR#1417', 4620937.0)
(1998, 'UNITED ST7', 'MFGR#1418', 1932061.0)
(1998, 'UNITED ST7', 'MFGR#1422', 3687869.0)
(1998, 'UNITED ST7', 'MFGR#1424', 6287600.0)
(1998, 'UNITED ST7', 'MFGR#1426', 8171821.0)
(1998, 'UNITED ST7', 'MFGR#1429', 4185513.0)
(1998, 'UNITED ST7', 'MFGR#143 ', 4274574.0)
(1998, 'UNITED ST7', 'MFGR#1432', 5822274.0)
(1998, 'UNITED ST7', 'MFGR#1438', 6098004.0)
(1998, 'UNITED ST7', 'MFGR#144 ', -71955.0)
(1998, 'UNITED ST7', 'MFGR#145 ', -105407.0)
(1998, 'UNITED ST7', 'MFGR#146 ', 6623888.0)
(1998, 'UNITED ST8', 'MFGR#1413', 3389640.0)
(1998, 'UNITED ST8', 'MFGR#142 ', 1143224.0)
(1998, 'UNITED ST8', 'MFGR#1423', 1873632.0)
(1998, 'UNITED ST8', 'MFGR#1425', 430038.0)
(1998, 'UNITED ST8', 'MFGR#1429', 3125368.0)
(1998, 'UNITED ST8', 'MFGR#1430', -70386.0)
(1998, 'UNITED ST8', 'MFGR#1432', 748552.0)
(1998, 'UNITED ST8', 'MFGR#1433', 5221631.0)
(1998, 'UNITED ST8', 'MFGR#1435', 4030355.0)
(1998, 'UNITED ST8', 'MFGR#1436', 350640.0)
(1998, 'UNITED ST8', 'MFGR#1437', 2735536.0)
(1998, 'UNITED ST8', 'MFGR#146 ', 7415771.0)
(1998, 'UNITED ST8', 'MFGR#147 ', 2240327.0)
(1998, 'UNITED ST8', 'MFGR#148 ', 7985689.0)
(1998, 'UNITED ST9', 'MFGR#141 ', 3059350.0)
(1998, 'UNITED ST9', 'MFGR#1416', 2020830.0)
(1998, 'UNITED ST9', 'MFGR#1418', 6767007.0)
(1998, 'UNITED ST9', 'MFGR#142 ', 2151330.0)
(1998, 'UNITED ST9', 'MFGR#1423', 4764342.0)
(1998, 'UNITED ST9', 'MFGR#1427', 6446524.0)
(1998, 'UNITED ST9', 'MFGR#1429', 5894015.0)
(1998, 'UNITED ST9', 'MFGR#143 ', 4395699.0)
(1998, 'UNITED ST9', 'MFGR#1430', 2850785.0)
(1998, 'UNITED ST9', 'MFGR#1432', 3480999.0)
(1998, 'UNITED ST9', 'MFGR#1438', 5666248.0)
(1998, 'UNITED ST9', 'MFGR#144 ', 538117.0)
(1998, 'UNITED ST9', 'MFGR#1440', 1008110.0)
(1998, 'UNITED ST9', 'MFGR#146 ', 4708640.0)
(1998, 'UNITED ST9', 'MFGR#147 ', -107266.0)
